Effort_kg	Allongement_cm_m	Diametre_mm	Section_mm2	Tension_kg_mm2	Allongement_pct
400	0.01	NaN	200.97	1.99	0.01
800	0.02	NaN	200.95	3.98	0.02
1200	0.03	NaN	200.93	5.97	0.03
1600	0.04	NaN	200.91	7.96	0.04
2000	0.05	NaN	200.89	9.95	0.05
2400	0.06	NaN	200.87	11.94	0.06
2800	0.075	NaN	200.84	13.94	0.075
3200	0.09	NaN	200.81	15.93	0.09
3600	0.11	NaN	200.77	17.93	0.11
4000	3.8	NaN	193.64	20.64	3.8
4400	4.8	NaN	191.79	22.91	4.8
4800	6.25	NaN	189.17	25.37	6.25
5200	8.25	NaN	185.68	28.0	8.25
5600	11.12	NaN	180.88	30.95	11.12
6000	16.6	NaN	172.38	34.8	16.6
6100	23.25	14.2	158.36	38.51	27.0
5900	27.6	13.3	138.92	42.47	44.0
5700	30.25	12.5	122.71	46.41	63.0
5500	32.0	11.8	109.45	50.25	84.0
5300	33.0	11.2	93.52	53.79	104.0
